Function ID,Module,Legacy Controller/Function,New Endpoint / Handler,Parity Status,Verification
FUNC-001,Clients,Clients::index,GET /api/v1/clients,MATCH,Verified in Docker container
FUNC-002,Clients,Clients::add,POST /api/v1/clients,MATCH,Verified in Docker container
FUNC-003,Clients,Clients::update,PUT /api/v1/clients/{id},MATCH,Verified in Docker container
FUNC-004,Clients,Clients::delete,DELETE /api/v1/clients/{id},MATCH,Verified in Docker container
FUNC-005,Leads,Leads::index,GET /api/v1/leads,MATCH,Verified in Docker container
FUNC-006,Leads,Leads::add,POST /api/v1/leads,MATCH,Verified in Docker container
FUNC-007,Leads,Leads::convert_to_customer,POST /api/v1/leads/{id}/convert,MATCH,Verified in Docker container
FUNC-008,Invoices,Invoices::index,GET /api/v1/invoices,MATCH,Verified in Docker container
FUNC-009,Invoices,Invoices::add,POST /api/v1/invoices,MATCH,Verified in Docker container
FUNC-010,Invoices,Invoices::record_payment,POST /api/v1/invoices/{id}/payments,MATCH,Verified in Docker container
FUNC-011,Estimates,Estimates::index,GET /api/v1/estimates,MATCH,Verified in Docker container
FUNC-012,Estimates,Estimates::add,POST /api/v1/estimates,MATCH,Verified in Docker container
FUNC-013,Accounting,Accounting::summary,GET /api/v1/accounting/summary,MATCH,Verified in Docker container
FUNC-014,Accounting,Accounting::add_journal_entry,POST /api/v1/accounting/entries,MATCH,Verified in Docker container
FUNC-015,Warehouse,Warehouse::items,GET /api/v1/warehouse/items,MATCH,Verified in Docker container
FUNC-016,Warehouse,Warehouse::add_item,POST /api/v1/warehouse/items,MATCH,Verified in Docker container
FUNC-017,Purchase,Purchase::orders,GET /api/v1/purchase/orders,MATCH,Verified in Docker container
FUNC-018,Purchase,Purchase::add_po,POST /api/v1/purchase/orders,MATCH,Verified in Docker container
FUNC-019,WooCommerce,Woocommerce::status,GET /api/v1/woocommerce/status,MATCH,Verified in Docker container
FUNC-020,WooCommerce,Woocommerce::trigger_sync,POST /api/v1/woocommerce/sync,MATCH,Verified in Docker container
FUNC-021,HRM,Hrm::overview,GET /api/v1/hr/overview,MATCH,Verified in Docker container
FUNC-022,HRM,Hrm::add_employee,POST /api/v1/hr/employees,MATCH,Verified in Docker container
FUNC-023,Recruitment,Recruitment::overview,GET /api/v1/recruitment/overview,MATCH,Verified in Docker container
FUNC-024,Recruitment,Recruitment::add_campaign,POST /api/v1/recruitment/campaigns,MATCH,Verified in Docker container
FUNC-025,OKRs,Okrs::index,GET /api/v1/okrs,MATCH,Verified in Docker container
FUNC-026,OKRs,Okrs::add,POST /api/v1/okrs,MATCH,Verified in Docker container
FUNC-027,Tasks,Tasks::index,GET /api/v1/tasks,MATCH,Verified in Docker container
FUNC-028,Tasks,Tasks::add,POST /api/v1/tasks,MATCH,Verified in Docker container
FUNC-029,Tasks,Tasks::update_status,PUT /api/v1/tasks/{id},MATCH,Verified in Docker container
FUNC-030,Tickets,Tickets::index,GET /api/v1/tickets,MATCH,Verified in Docker container
FUNC-031,Tickets,Tickets::add,POST /api/v1/tickets,MATCH,Verified in Docker container
FUNC-032,Outsourcing,Staff_outsourcing::index,GET /api/v1/staff-outsourcing,MATCH,Verified in Docker container
FUNC-033,Outsourcing,Staff_outsourcing::book,POST /api/v1/staff-outsourcing,MATCH,Verified in Docker container
FUNC-034,AccountPlan,Account_planning::index,GET /api/v1/account-planning,MATCH,Verified in Docker container
FUNC-035,AccountPlan,Account_planning::add,POST /api/v1/account-planning,MATCH,Verified in Docker container
FUNC-036,Settings,Settings::index,GET /api/v1/settings,MATCH,Verified in Docker container
FUNC-037,Settings,Settings::save,POST /api/v1/settings,MATCH,Verified in Docker container
